EmployeeIndex,ActualAttrition,AttritionRisk,PredictedClass,RiskTier
408,0,0.1581,0,Low
1144,0,0.1579,0,Low
475,0,0.1572,0,Low
648,0,0.1571,0,Low
753,0,0.1564,0,Low
144,0,0.1563,0,Low
829,0,0.1559,0,Low
233,0,0.1559,0,Low
1024,0,0.1556,0,Low
456,1,0.1539,0,Low
712,0,0.1533,0,Low
84,1,0.1532,0,Low
1042,0,0.153,0,Low
274,0,0.1525,0,Low
921,1,0.1515,0,Low
1092,0,0.1508,0,Low
235,0,0.1504,0,Low
474,0,0.15,0,Low
969,0,0.1499,0,Low
708,1,0.1496,0,Low
301,0,0.1494,0,Low
3,0,0.1493,0,Low
372,0,0.1492,0,Low
60,0,0.1491,0,Low
581,0,0.1491,0,Low
875,0,0.149,0,Low
894,1,0.149,0,Low
466,0,0.1488,0,Low
1035,0,0.1488,0,Low
930,0,0.1477,0,Low
273,0,0.1474,0,Low
384,0,0.1467,0,Low
768,0,0.1467,0,Low
1130,0,0.1458,0,Low
500,0,0.1456,0,Low
903,0,0.1451,0,Low
732,0,0.1448,0,Low
190,1,0.1446,0,Low
1087,0,0.1439,0,Low
566,0,0.1433,0,Low
772,0,0.1431,0,Low
182,0,0.1421,0,Low
896,0,0.142,0,Low
26,0,0.1407,0,Low
842,1,0.1394,0,Low
553,0,0.1394,0,Low
1005,1,0.1391,0,Low
727,0,0.1388,0,Low
234,0,0.1385,0,Low
241,1,0.1384,0,Low
845,0,0.1378,0,Low
1106,0,0.1371,0,Low
998,1,0.1363,0,Low
496,1,0.1352,0,Low
595,0,0.1348,0,Low
269,0,0.1345,0,Low
262,0,0.1345,0,Low
986,0,0.1335,0,Low
860,1,0.133,0,Low
1062,0,0.1329,0,Low
311,0,0.1325,0,Low
375,0,0.1324,0,Low
1100,0,0.132,0,Low
320,0,0.1316,0,Low
1086,1,0.1313,0,Low
549,0,0.1306,0,Low
345,0,0.1302,0,Low
868,1,0.1299,0,Low
1030,1,0.1298,0,Low
1018,1,0.1287,0,Low
1109,0,0.1259,0,Low
850,0,0.1259,0,Low
449,0,0.1259,0,Low
486,0,0.125,0,Low
925,1,0.1242,0,Low
50,0,0.124,0,Low
827,0,0.1236,0,Low
1071,0,0.1234,0,Low
34,0,0.1225,0,Low
526,0,0.1213,0,Low
129,0,0.1207,0,Low
267,0,0.1205,0,Low
515,0,0.1199,0,Low
656,0,0.1184,0,Low
450,0,0.1177,0,Low
1032,0,0.1159,0,Low
38,1,0.1157,0,Low
811,0,0.1145,0,Low
794,0,0.1141,0,Low
291,0,0.1134,0,Low
978,1,0.1125,0,Low
502,0,0.112,0,Low
888,1,0.1114,0,Low
1105,0,0.1112,0,Low
582,0,0.1109,0,Low
348,0,0.11,0,Low
280,0,0.1097,0,Low
1022,0,0.1096,0,Low
128,0,0.107,0,Low
666,1,0.1068,0,Low
779,0,0.1066,0,Low
557,1,0.1031,0,Low
314,1,0.1018,0,Low
920,0,0.1016,0,Low
711,0,0.1007,0,Low
383,0,0.1005,0,Low
887,0,0.1002,0,Low
101,0,0.1001,0,Low
837,1,0.0983,0,Low
429,0,0.098,0,Low
787,0,0.0975,0,Low
80,1,0.0967,0,Low
232,0,0.0967,0,Low
604,1,0.0963,0,Low
459,0,0.0958,0,Low
1059,0,0.0958,0,Low
410,0,0.0953,0,Low
568,0,0.0944,0,Low
743,0,0.0941,0,Low
304,0,0.0928,0,Low
357,1,0.0927,0,Low
598,0,0.0915,0,Low
946,0,0.0915,0,Low
660,0,0.0863,0,Low
596,0,0.086,0,Low
65,0,0.0845,0,Low
527,0,0.0829,0,Low
859,0,0.0826,0,Low
226,0,0.0819,0,Low
534,0,0.0804,0,Low
1036,1,0.0796,0,Low
157,1,0.0796,0,Low
907,0,0.0794,0,Low
266,1,0.078,0,Low
535,1,0.0777,0,Low
109,0,0.076,0,Low
516,0,0.0755,0,Low
1089,1,0.0744,0,Low
738,1,0.0744,0,Low
906,0,0.0738,0,Low
781,0,0.0736,0,Low
808,0,0.0736,0,Low
652,0,0.0732,0,Low
1111,0,0.0724,0,Low
201,0,0.0724,0,Low
174,0,0.0714,0,Low
639,0,0.0682,0,Low
478,0,0.0681,0,Low
902,0,0.0668,0,Low
64,0,0.0666,0,Low
682,0,0.0663,0,Low
1141,0,0.0657,0,Low
482,0,0.0646,0,Low
178,0,0.0644,0,Low
530,0,0.0644,0,Low
745,0,0.0634,0,Low
559,0,0.0607,0,Low
1091,0,0.0598,0,Low
1007,0,0.0592,0,Low
92,0,0.0586,0,Low
177,0,0.0581,0,Low
659,0,0.0562,0,Low
831,0,0.0544,0,Low
293,0,0.0539,0,Low
616,0,0.0536,0,Low
816,1,0.0526,0,Low
220,0,0.0518,0,Low
122,0,0.0514,0,Low
23,0,0.0463,0,Low
394,0,0.0442,0,Low
593,0,0.0359,0,Low
115,0,0.0358,0,Low
561,0,0.0302,0,Low
1034,0,0.0262,0,Low
130,0,0.0214,0,Low
359,0,0.0186,0,Low
608,0,0.0094,0,Low
